,index_jjj,index_spotify,year_x,title,artist,duration,country,position of year,name,artists,year_y,release_date,duration_ms,valence,danceability,speechiness
88,145,52041,1994,My Wave,Soundgarden,5:13,USA,46,My Wave,['Soundgarden'],1994,1994-03-09,312613,0.705,0.509,0.061
89,146,105329,1994,Einstein On The Beach (For An   Eggman),Counting Crows,3:54,USA,47,Einstein On The Beach (For An Eggman),['Counting Crows'],2003,2003-01-01,232240,0.68,0.527,0.11199999999999999
90,147,14207,1994,Mr. Jones,Counting Crows,4:32,USA,48,Mr. Jones,['Counting Crows'],1993,1993-01-01,272293,0.726,0.578,0.0363
91,150,14436,1994,Spoonman,Soundgarden,4:07,USA,51,Spoonman,['Soundgarden'],1994,1994-03-09,246920,0.8340000000000001,0.457,0.0313
92,152,14451,1994,Fell On Black Days,Soundgarden,4:43,USA,53,Fell On Black Days,['Soundgarden'],1994,1994-03-09,283027,0.514,0.574,0.0271
93,153,14481,1994,Vasoline,Stone Temple Pilots,2:56,USA,54,Vasoline - 2019 Remaster,['Stone Temple Pilots'],1994,1994-06-07,176547,0.353,0.295,0.08800000000000001
94,155,120791,1994,Bizarre Love Triangle,Frente!,2:01,Australia,56,Bizarre Love Triangle - 2014 Remaster,['Frente!'],1999,1999-05-14,119813,0.682,0.738,0.0625
95,156,33447,1994,Burn,The Cure,6:39,England,57,Burn,['The Cure'],1994,1994-03-25,398933,0.508,0.574,0.0399
96,158,69930,1994,Sometimes Always,The Jesus And Mary Chain,2:32,Scotland,59,Sometimes Always,['The Jesus and Mary Chain'],1994,1994-08-23,151960,0.597,0.447,0.0292
97,159,14600,1994,Cut Your Hair,Pavement,3:07,USA,60,Cut Your Hair,['Pavement'],1994,1994,186827,0.63,0.47700000000000004,0.0313
98,160,14036,1994,Hey Jealousy,Gin Blossoms,3:57,USA,61,Hey Jealousy,['Gin Blossoms'],1992,1992-01-01,236627,0.4970000000000001,0.47100000000000003,0.0389
99,162,69883,1994,Parklife,Blur,3:05,England,63,Parklife - 2012 Remaster,['Blur'],1994,1994-04-25,185093,0.722,0.627,0.0676
